Song Title /Album Title,Year,Award Institution,Award Category,Award Type,International Award,Result
Beyonce,2003,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2003,American Music Award,Fan's Choice Award,,,Nominated
*Dangerously in Love*,2003,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2004,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2006,American Music Award,Artist of the Year,,,Nominated
Beyonce,2007,American Music Award,International Artist Award,,International,Won
Beyonce,2007,American Music Award,Favorite Pop/Rock Female Artist,Gender,,Nominated
Beyonce,2007,American Music Award,Favorite Soul/R&B Female Artist,Gender,,Nominated
*Dreamgirls: Music from the Motion Picture*,2007,American Music Award,Favorite Soundtrack,,,Nominated
Beyonce,2009,American Music Award,Favorite Pop/Rock Female Artist,Gender,,Nominated
Beyonce,2009,American Music Award,Favorite Soul/R&B Female Artist,Gender,,Won
*I Am... Sasha Fierce*,2009,American Music Award,Favorite Soul/R&B Album,Gender & Race,,Nominated
Beyonce,2011,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
*4*,2011,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2012,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
Beyonce,2014,American Music Award,Artist of the Year,,,Nominated
Beyonce,2014,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
*BEYONCÉ*,2014,American Music Award,Favorite Soul/R&B Album,,,Won
Beyonce,2015,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2016,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
The Formation World Tour,2016,American Music Award,Tour of the Year,,,Won
*Lemonade*,2016,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2017,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
On the Run II Tour (with Jay-Z),2018,American Music Award,Tour of the Year,,,Nominated
Beyonce,2019,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
Most Performed Urban Songs,2018,ASCAP Latin Awards,"""Mi Gente"" (Remix) (J Balvin and Willy William featuring Beyonce)",,,Won
Beyonce,2001,ASCAP Pop Music Awards,Songwriter of the Year,,,Won
Independent Women Part I,2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
"Jumpin', Jumpin'",2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Survivor,2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
