Song Title/Album Title,Album,Main Artist,Year,US,AUS,CAN,FRA,GER,IRE,NLD,NZ,SWI,UK,Certifications 1,RIAA,ARIA,BPI,BVMI,RMNZ,MC,IFPI SWI:,SNEP
Work It Out,*Austin Powers in Goldmember*,Beyonce,2002, ,21, ,87,75,12,30,36,48,7,,,Gold,,,,,,
Crazy in Love,*Dangerously in Love*,Beyonce,2003,1,2,2,21,6,1,2,2,3,1,,Gold,Platinum,2x Platinum,,Gold,,,
Fighting Temptation,*The Fighting Temptations*,Beyonce,2003, , ,34, ,54, ,13, , , ,,,,,,,,,
Baby Boy,*Dangerously in Love*,Beyonce,2003,1,3,2,8,4,6,8,2,5,2,,Gold,Platinum,Gold,,,,,
"Me, Myself and I",*Dangerously in Love*,Beyonce,2003,4,11,7, ,35,21,14,18,41,11,,,,,,,,,
Summertime,*The Fighting Temptations*,Beyonce,2003, , , , , , , , , , ,,,,,,,,,
Naughty Girl,*Dangerously in Love*,Beyonce,2004,3,9,2,18,16,14,10,6,18,10,,Gold,Gold,Silver,Platinum,Platinum,,,
The Closer I Get to You,"*Dangerously in Love*
and *Dance with My Father*",Beyonce,2004, , , , , , , , , , ,,,,,,,,,
Wishing on a Star,*Roll Bounce*,Beyonce,2005, , , , , , , , , , ,,,,,,,,,
Check on It,*#1's*,Beyonce,2005,1, ,5,32,11,5,5,1,7,3,,Gold,,Silver,,,Gold,,
Déjà Vu,*B'Day*,Beyonce,2006,4,12,14,23,9,3,17,15,3,1,,Gold,,Silver,,,,,
Ring the Alarm,*B'Day*,Beyonce,2006,11, , , , , , , , , ,,Gold,,,,,,,
Irreplaceable,*B'Day*,Beyonce,2006,1,1,2,10,11,1,3,1,9,4,,2x Platinum,Platinum,Platinum,,Platinum,,,
Listen,*Dreamgirls*,Beyonce,2007,61, , , ,18,6, , , ,8,,,,Platinum,,,,,
Beautiful Liar,*B'Day*,Beyonce,2007,3,5,2,1,1,1,1,1,1,1,,Platinum,2x Platinum,Platinum,Gold,Gold,,,
Get Me Bodied,*B'Day*,Beyonce,2007,46, , , , , , , , , ,,,,,,,,,
Green Light,*B'Day*,Beyonce,2007, , , , , ,46,18, , ,12,,,,,,,,,
Until the End of Time,*FutureSex/LoveSounds*,Beyonce,2007,17, , , , , , ,31, , ,,,,,,,,,
If I Were a Boy,*I Am... Sasha Fierce*,Beyonce,2008,3,3,4,5,3,2,1,2,3,1,,2x Platinum,3x Platinum,2x Platinum,Gold,Platinum,2x Platinum,Platinum,
Single Ladies,*I Am... Sasha Fierce*,Beyonce,2008,1,5,2,68,3,4,8,2,40,7,,4x Platinum,5× Platinum,Platinum,Gold,Platinum,2x Platinum,,
At Last,*Cadillac Records*,Beyonce,2008,67, ,79, , , , , , , ,,,,,,,,,
Diva,*I Am... Sasha Fierce*,Beyonce,2009,19,40, , , ,50, ,26, ,72,,Gold,,Silver,,,,,
Halo,*I Am... Sasha Fierce*,Beyonce,2009,5,3,3,9,5,4,9,2,4,4,,2x Platinum,7x Platinum ,2x Platinum,Platinum,Platinum,Platinum,Platinum,
Ego,*I Am... Sasha Fierce*,Beyonce,2009,39, , , , , ,42,11, ,60,,RMNZ: Gold,,,,,,,
Sweet Dreams,*I Am... Sasha Fierce*,Beyonce,2009,10,2,17, ,8,4,26,1,16,5,,Platinum,Platinum,Platinum,,Platinum,,,
Broken-Hearted Girl,*I Am... Sasha Fierce*,Beyonce,2009, ,14, , ,14,20, , ,62,27,,,,Silver,,,,,
Video Phone,*I Am... Sasha Fierce*,Beyonce,2009,65,31, , , , ,49,32, ,58,,,,,,,,,
Why Don't You Love Me,*I Am... Sasha Fierce*,Beyonce,2010, ,73, , , , , , , ,51,,,,,,,,,
Run the World,*4*,Beyonce,2011,29,10,16,12, ,11,8,9,22,11,,Gold,2x Platinum,Platinum,,Gold,Platinum,,
Best Thing I Never Had,*4*,Beyonce,2011,16,17,27,61,29,2,23,5,35,3,,Platinum,Platinum,Platinum,,Gold,Gold,,
Party,*4*,Beyonce,2011,50, , , , , , , , , ,,,,,,,,,
Love on Top,*4*,Beyonce,2011,20,20,65,83, ,21,23,14, ,13,,Gold,2x Platinum,Platinum,,,,,
Countdown,*4*,Beyonce,2011,71, ,62, , ,45,52, , ,35,,Gold,,Silver,,,,,
I Care,*4*,Beyonce,2012, , , , , , , , , , ,,,,,,,,,
End of Time,*4*,Beyonce,2012, , , , , ,27, , , ,39,,Silver,,,,,,,
XO,*Beyonce*,Beyonce,2013,45,16,36,99,68,15,24,10, ,22,,Platinum,Platinum,Gold,,,Gold,,
