Song Title/Album Title,Date,Event,Event Type,Special Guest,City,State,Country
Baby Boy,7/6/03,Party in the Park,Music Festival,,London,,England
Work It Out,7/6/03,Party in the Park,Music Festival,,London,,England
Dangerously in Love 2,7/6/03,Party in the Park,Music Festival,,London,,England
Crazy in Love,7/6/03,Party in the Park,Music Festival,,London,,England
Crazy in Love,11/29/03,46664,Music Festival,,Cape Town,,South Africa
Baby Boy,11/29/03,46664,Music Festival,,Cape Town,,South Africa
Dangerously in Love 2,11/29/03,46664,Music Festival,,Cape Town,,South Africa
American Prayer,11/29/03,46664,Music Festival,"with Bono, The Edge and Dave Stewart ",Cape Town,,South Africa
Amandla,11/29/03,46664,Music Festival,"with Queen, Dave Stewart, Bono, Anastacia and Youssou N'Dour ",Cape Town,,South Africa
Crazy in Love,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Naughty Girl,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Silent Night,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Survivor,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Say My Name,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Independent Women,12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
"Me, Myself, and I",12/5/03,KIIS-FM Jingle Ball,Music Festival,,Los Angeles,California,United States
Baby Boy,12/5/03,KIIS-FM Jingle Ball,Music Festival,with Sean Paul ,Los Angeles,California,United States
Crazy in Love,12/11/03,z100 Jingle Ball,Music Festival,with Jay-Z ,New York City,New York,United States
Naughty Girl,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Silent Night,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Survivor,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Say My Name,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Independent Women,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
"Me, Myself, and I",12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Baby Boy,12/11/03,z100 Jingle Ball,Music Festival,,New York City,New York,United States
Crazy in Love,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Naughty Girl,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Silent Night,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Survivor,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Say My Name,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Independent Women,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
"Me, Myself, and I",12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Baby Boy,12/19/03,WGCI-FM Big Jam,Music Festival,,Chicago,Illinois,United States
Baby Boy,5/8/04,The Prince's Trust Urban Music Festival,Music Festival,,London,,England
Naughty Girl,5/8/04,The Prince's Trust Urban Music Festival,Music Festival,,London,,England
Crazy in Love,5/8/04,The Prince's Trust Urban Music Festival,Music Festival,with Jay-Z ,London,,England
Deja Vu,10/7/06,This Day  Music Festival,Music Festival,,Lagos,,Nigeria
"Arise, O Compatriots",10/7/06,This Day  Music Festival,Music Festival,,Lagos,,Nigeria
Irreplaceable,10/7/06,This Day  Music Festival,Music Festival,,Lagos,,Nigeria
Deja Vu,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Baby Boy,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Naughty Girl,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Irreplaceable,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Dangerously in Love 2,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Crazy in Love,11/12/06,BBC Radio 1 The Chart Show Live,Music Festival,,Brighton,,England
Crazy in Love,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Crazy,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Baby Boy,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Naughty Girl,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
"Me, Myself, and I",3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Deja Vu,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Ring the Alarm,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Lose My Breath,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Independent Women,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
"No, No, No - Part 2",3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
"Bills, Bills, Bills",3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Check on It,3/15/07,Houston Livestock Show and Rodeo,Music Festival,"with Slim Thug and Bun B 
   ",Houston,Texas,United States
Speechless,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Dangerously in Love 2,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Irreplaceable,3/15/07,Houston Livestock Show and Rodeo,Music Festival,,Houston,Texas,United States
Crazy in Love,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Crazy,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Baby Boy,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Murder She Wrote,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Beautiful Liar,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
"Me, Myself, and I",10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Dangerously in Love 2,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
He Loves Me,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Flaws and All,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
At Last,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Independent Women,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Bootylicious,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Cater 2 U,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Say My Name,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Check on It,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Deja Vu,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
On the Island,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Get Me Bodied,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Irreplaceable,10/2/08,Bermuda Music Festival,Music Festival,,Hamilton,,Bermuda
Crazy in Love,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Single Ladies - Put a Ring on It,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Naughty Girl,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Baby Boy,6/26/11,Glastonbury Festival,Music Festival,with Tricky ,"Pilton, Somerset",,England
Best Thing I Never Had,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
End of Time,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
If I Were a Boy,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
You Oughta Know,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Sweet Dreams,6/26/11,Glastonbury Festival,Music Festival,Are Made of This ,"Pilton, Somerset",,England
Sweet Dreams,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
